genus,synonym
Marginula,
Wairakiella,Pseudowellerella
Martineacea,
Camarotoechiidae,
Grumantia,Arctitreta
Spiriferidae,
Trabeculatia,Trabeculatia
Rhynchonellidae,
Strophalosiidae,
Terebratulidae,
Punctomentzelia,
Tetrarhynchiinae,
Waagenoconcha,Productus
Terebratulida,
Retziidae,
Rhynchonellida,
Orthotetidina,
Rhynchonellacea,
Magniplicatina,
Crurithyris,
Lethamina,
Marinia,
Chonetacea,
Spiriferinidae,
Syringothyrididae,
Wairaspiriferina,
Terebratellidae,
Terebratulidina,
Athyrididae,
Productidae,
