"","x"
"1",""
"2","Alum Rock Beds"
"3","Beckers"
"4","Beekeeper"
"5","Belford"
"6","Berriedale"
"7","Berserker"
"8","Bickham"
"9","Biggenden"
"10","Billop"
"11","Blenheim"
"12","Brae"
"13","Burnett"
"14","Burnt Gully"
"15","Calytrix"
"16","Capertree"
"17","Carmila"
"18","Carolyn"
"19","Cataract River"
"20","Colraine"
"21","Condamine"
"22","Crocker"
"23","Cuncudgerie"
"24","Dabool"
"25","Dilly"
"26","Drake"
"27","Drake Volcanics"
"28","Eight Mile Creek"
"29","Elderslie"
"30","Enstone Park"
"31","Eurydesma Beds"
"32","Exmoor"
"33","Fenestella Shale"
"34","Ferntree"
"35","Fossil Cliff"
"36","Gebbie"
"37","Gerringong"
"38","Gilgurry"
"39","Giro"
"40","Glencoe"
"41","Glendoo"
"42","Glenmore"
"43","Golden Valley"
"44","Grange"
"45","Gray"
"46","Halls Peak"
"47","Hickman"
"48","High Cliff Sandstone"
"49","Holmwood"
"50","Inglis"
"51","Jimba Jimba"
"52","Kansas Creek"
"53","Kensington"
"54","Lower Marine Beds"
"55","Macmillan"
"56","Madeline"
"57","Manning"
"58","Maria"
"59","Marra"
"60","Mingenew"
"61","Mistletoe"
"62","Mooraback"
"63","Muggleton"
"64","Narayen"
"65","Nassau"
"66","Noonkanbah"
"67","One Gum"
"68","Owl Creek"
"69","Plumbago Creek"
"70","Poole"
"71","Port Keats"
"72","Rammutt"
"73","Rays Hill"
"74","Rhyolite Range"
"75","Rhyolite Range Beds"
"76","Rose's Pride"
"77","Silver Spur"
"78","Sirius"
"79","South Curra"
"80","Spreyton"
"81","Stanleigh"
"82","Swifts Jetty Sandstone"
"83","Tamby Creek"
"84","Tiverton"
"85","Tomago"
"86","Tunnel Block Sediments"
"87","Upper Marine Beds"
"88","Wallaby"
"89","Wandagee"
"90","Werrie"
"91","Yarrol"
"92","Yessabah"
